date,product,region,units_sold,revenue
2025-01-01,Laptop,North,4.0,182511.37
2025-01-01,Headphones,West,4.0,9290.62
2025-01-01,Headphones,East,3.0,7876.32
2025-01-01,Headphones,South,3.0,7473.0
2025-01-01,Headphones,North,1.0,2621.94
2025-01-01,Monitor,East,2.0,25065.3
2025-01-01,Monitor,South,3.0,37047.82
2025-01-01,Monitor,North,3.0,33150.07
2025-01-01,Keyboard,West,6.0,8545.91
2025-01-01,Monitor,West,1.0,12198.76
2025-01-01,Keyboard,South,2.0,2965.58
2025-01-01,Keyboard,North,2.0,3142.12
2025-01-01,Mouse,West,2.0,1551.98
2025-01-01,Mouse,South,3.0,2143.25
2025-01-01,Mouse,North,1.0,771.87
2025-01-01,Laptop,West,3.0,128762.44
2025-01-01,Laptop,East,3.0,131143.18
2025-01-01,Laptop,South,1.0,47273.66
2025-01-01,Keyboard,East,4.0,6116.8
2025-01-02,Monitor,North,1.0,12553.9
2025-01-02,Monitor,South,2.0,22139.2
2025-01-02,Monitor,East,3.0,36123.41
2025-01-02,Monitor,West,2.0,23571.91
2025-01-02,Headphones,West,3.0,7609.9
2025-01-02,Headphones,South,3.0,7036.14
2025-01-02,Headphones,East,5.0,11674.71
2025-01-02,Keyboard,West,5.0,7314.96
2025-01-02,Headphones,North,4.0,10278.06
2025-01-02,Keyboard,East,3.0,4498.34
2025-01-02,Mouse,North,2.0,1482.92
2025-01-02,Keyboard,North,1.0,1684.74
2025-01-02,Keyboard,South,2.0,3050.97
2025-01-02,Laptop,South,2.0,86361.78
2025-01-02,Laptop,East,7.0,307097.33
2025-01-02,Laptop,West,3.0,132353.27
2025-01-02,Laptop,North,3.0,142036.82
2025-01-02,Mouse,South,2.0,1572.58
2025-01-02,Mouse,East,4.0,3071.64
2025-01-02,Mouse,West,4.0,3209.64
2025-01-03,Headphones,West,1.0,2767.99
2025-01-03,Headphones,East,2.0,5032.14
2025-01-03,Headphones,South,2.0,5390.1
2025-01-03,Monitor,West,2.0,21759.28
2025-01-03,Monitor,East,1.0,13388.8
2025-01-03,Monitor,North,8.0,97115.02
2025-01-03,Keyboard,West,4.0,6015.41
2025-01-03,Keyboard,East,3.0,4737.92
2025-01-03,Monitor,South,2.0,24211.42
2025-01-03,Keyboard,North,6.0,8799.07
2025-01-03,Laptop,East,2.0,95213.68
2025-01-03,Laptop,West,4.0,172613.86
2025-01-03,Mouse,North,2.0,1593.83
2025-01-03,Laptop,South,3.0,130178.13
2025-01-03,Keyboard,South,4.0,6256.92
2025-01-03,Mouse,East,2.0,1514.33
2025-01-03,Mouse,West,4.0,3277.2
2025-01-03,Mouse,South,6.0,4881.88
2025-01-04,Keyboard,West,6.0,8729.9
2025-01-04,Headphones,East,5.0,12702.6
2025-01-04,Headphones,South,3.0,7335.18
2025-01-04,Headphones,North,7.0,18858.75
2025-01-04,Monitor,West,5.0,64357.65
2025-01-04,Monitor,East,2.0,25142.41
2025-01-04,Monitor,South,2.0,24249.12
2025-01-04,Monitor,North,6.0,70248.84
2025-01-04,Keyboard,South,6.0,9089.58
2025-01-04,Headphones,West,5.0,12418.66
2025-01-04,Mouse,West,2.0,1730.59
2025-01-04,Laptop,North,6.0,278557.91
2025-01-04,Laptop,South,1.0,46136.22
2025-01-04,Laptop,East,2.0,93895.9
2025-01-04,Keyboard,North,1.0,1392.74
2025-01-04,Mouse,North,2.0,1682.6
2025-01-04,Mouse,South,1.0,790.5
2025-01-04,Mouse,East,1.0,874.88
2025-01-04,Laptop,West,5.0,248874.26
2025-01-05,Headphones,West,6.0,15035.24
2025-01-05,Keyboard,East,1.0,1505.22
2025-01-05,Headphones,South,5.0,12323.61
2025-01-05,Headphones,North,10.0,24907.99
2025-01-05,Monitor,West,3.0,39377.11
2025-01-05,Monitor,East,3.0,36615.16
2025-01-05,Monitor,South,2.0,25171.57
2025-01-05,Monitor,North,7.0,83534.09
2025-01-05,Keyboard,West,2.0,3147.53
2025-01-05,Headphones,East,6.0,15003.93
2025-01-05,Keyboard,South,6.0,9346.89
2025-01-05,Mouse,West,1.0,799.82
2025-01-05,Mouse,East,5.0,3939.54
2025-01-05,Mouse,South,5.0,3904.52
2025-01-05,Mouse,North,1.0,846.17
2025-01-05,Laptop,West,2.0,87718.76
2025-01-05,Laptop,East,3.0,136653.52
2025-01-05,Laptop,South,5.0,224900.81
2025-01-05,Laptop,North,6.0,260561.52
2025-01-05,Keyboard,North,1.0,1595.34
2025-01-06,Monitor,South,2.0,24068.97
2025-01-06,Monitor,East,1.0,10630.32
2025-01-06,Monitor,West,2.0,23865.21
2025-01-06,Keyboard,West,1.0,1460.23
2025-01-06,Headphones,South,3.0,8116.86
2025-01-06,Headphones,West,4.0,9875.48
2025-01-06,Headphones,North,3.0,7417.14
2025-01-06,Keyboard,East,4.0,6146.3
2025-01-06,Monitor,North,1.0,11524.28
2025-01-06,Keyboard,North,1.0,1391.91
2025-01-06,Laptop,South,6.0,259895.43
2025-01-06,Laptop,East,2.0,92904.19
2025-01-06,Laptop,West,2.0,96158.84
2025-01-06,Laptop,North,5.0,228738.53
2025-01-06,Mouse,East,6.0,4972.21
2025-01-06,Keyboard,South,1.0,1417.41
2025-01-06,Mouse,West,5.0,4224.54
2025-01-06,Mouse,South,3.0,2367.67
2025-01-07,Keyboard,West,4.0,6062.25
2025-01-07,Headphones,East,1.0,2645.97
2025-01-07,Headphones,South,6.0,14225.53
2025-01-07,Headphones,North,5.0,11393.6
2025-01-07,Monitor,West,2.0,23538.53
2025-01-07,Monitor,East,2.0,22967.5
2025-01-07,Monitor,South,2.0,22914.82
2025-01-07,Monitor,North,3.0,36467.5
2025-01-07,Keyboard,East,4.0,6158.49
2025-01-07,Headphones,West,2.0,5063.61
